autonummering;Veldcode;IDToonW;sampling_unit_code;naam;SGO__km²_;SBZ;provincie;x;y;AfstandTot;RankingGRT;SGO;Volgorde;Jaar;jaar planning;monitoringsvolgorde;adres;afgedrukt?;kopies digitaal document opgemaakt;met 2;versie veldprotocol;waterranonkels;TypischeSoorten;datum veldbezoek;jaar monitoring;doelhabitat;invoerwijze;klasse;reden geen bemonstering/ongeschikt;opmerking;"Ingevoerd in INBOVEG:1=ja; 0=nee";user_reference;SchaduwRS8m;Meermaals bezocht per jaar;locatie SO of SA verschoven (xy aangepast tov origineel aangereikt meetpunt, volgens protocol);SchaduwBoom (uit inboveg);lengte duiker/brug (uit inboveg);lengte bodemplaat (uit inboveg);werk nodig;;;;;
154;WarBe_03;;;;;;;229116;209081,4;;;;;;;;;ja;ja;nee;;;;4/07/2019;2019;3260;digitaal;niet meetellen (2x bezocht);;;1;#NAAM?;;ja;nee;0;0;0;;;;;;
155;RepBe_01;683;1_4_683;REPPELERBEEK;<10;0;Limburg;232425,6;206378;12,68066;470034;<10;6;8;2022;4 alleen;;ja;ja;nee;;nee;CalliHam, PotamPol;4/07/2019;2019;gh;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw en overwelving;;1;#NAAM?;0,37;;nee;60;30;0;;;;;;
156;DesNe_05o;838;1_4_838;DESSELSE NEET;10-50;;Antwerpen;199562,4868;215643,394;18,510712;4193526;>10;84;11;;;;;;;;;;5/07/2019;2019;3260;digitaal;niet meetellen (is vervangen);permanent ongeschikt: schaduw;;1;#NAAM?;;;;60;0;0;;;;;;
157;DesNe_05;;;;;;;199502;215645;;;;84;11;2025;;;ja;ja;nee;;;;5/07/2019;2019;3260;digitaal;niet meetellen (2x bezocht);permanent ongeschikt: schaduw;;1;#NAAM?;;ja;ja;40;0;0;;;;;;
158;GouLo_01;792;1_4_792;GOUWBERGSE LOOP;<10;1;Antwerpen;178918,8;243415,8;13,42255;15522654;<10;38;9;2023;"4; juni?; gouwbergse loop";;ja;ja;nee;;ooit geweest;CalliHam, RanunBatG;25/07/2019;2019;gh;digitaal;uitval (gh);;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
159;GouLo_02;1886;1_4_1886;GOUWBERGSE LOOP;<10;0;Antwerpen;181736,1;241488,4;10,7429;1031262;<10;7;9;2023;"4; juni?; gouwbergse loop";;ja;ja;nee;;ooit geweest;CalliHam, PotamBer, PotamObt, RanunBatG;25/07/2019;2019;gh;digitaal;uitval (gh);;;1;#NAAM?;0,03;;nee;5;0;0;;;;;;
160;GouLo_06;821;1_4_821;GOUWBERGSE LOOP;<10;1;Antwerpen;180936,6;242946,9;23,56127;15203422;<10;37;9;2023;"4; juni?; gouwbergse loop";;ja;ja;nee;;nee;PotamBer, PotamObt;25/07/2019;2019;ongekend (geen opname);digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,39;;nee;90;0;0;;;;;;
161;GouLo_07;820;1_4_820;GOUWBERGSE LOOP;<10;1;Antwerpen;180842,8;242969,5;17,42893;18349150;<10;42;10;2024;"4; juni?; gouwbergse loop";;ja;ja;nee;;mss;CalliHam, PotamBer, PotamObt, RanunBatG, ;25/07/2019;2019;ongekend (geen opname);digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,62;;nee;90;0;0;;;;;;
162;KleNe_04;610;1_4_610;KLEINE NETE;>50;1;Antwerpen;185162,7;209383,6;14,61306;3979222;>10;78;10;2024;4 met 2;;ja;ja;ja;;nee;FontiAnt, PotamPer;26/07/2019;2019;gh;digitaal;uitval (gh);;;1;#NAAM?;0,01;;nee;1;0;1;;;;;;
163;KleNe_02;631;1_4_631;KLEINE NETE;>50;1;Antwerpen;187108,7;209979,5;15,14227;3114742;>10;58;8;2022;4 met 2;;ja;ja;ja;;nee;PotamPer;26/07/2019;2019;gh;digitaal;uitval (gh);;Bobejaanland en camping;1;#NAAM?;0,01;;nee;1;0;0;;;;;;
164;Dommel_02;1054;1_4_1054;DOMMEL;>50;1;Limburg;224563;213372;9,111865;3240210;>10;63;8;2022;4 met 2;;ja;ja;ja;;nee;CalliHam;26/07/2019;2019;gh;digitaal;uitval (gh);;;1;#NAAM?;0,51;;ja;20;2;0;;;;;;
165;Dommel_07;919;1_4_919;DOMMEL;>50;1;Limburg;224673,7;210456,4;11,11378;3481874;>10;71;9;2023;4 met 2;;ja;ja;ja;;nee;CalliHam;26/07/2019;2019;gh;digitaal;uitval (gh);;;1;#NAAM?;0,02;;nee;5;0;0;;;;;;
166;Abeek_01;47;1_4_47;ABEEK;>50;1;Limburg;245307;206405;14,79659;4325778;>10;86;11;2025;4 met 2;;ja;ja;ja;;nee;PotamPus/Ber, PotamAcu;26/07/2019;2019;gh;digitaal;uitval (gh);;;1;#NAAM?;0,53;;ja;1;0;0;;;;;;
167;Berwijn_05;317;1_4_317;BERWIJN;>50;1;Limburg;242803,1;161362,5;11,38336;3799218;>10;75;10;2024;5 Voeren;;ja;ja;ja;;nee (RanunFlu);RanunFlu;14/08/2019;2019;3260;digitaal;mon3260;;moeilijk bereikbaar!!;1;#NAAM?;0,09;;nee;20;0;0;;;;;;
168;Maas_25;1810;1_4_1810;MAAS;>50;1;Limburg;242930,6;176604,6;27,33071;3757298;>10;74;10;2024;6 Maas;;ja;ja;ja;;nee (RanunFlu);PotamNod, RanunFlu, PotamPer;14/08/2019;2019;3260;analoog;mon3260;;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
169;Maas_24;1852;1_4_1852;MAAS;>50;1;Limburg;245288,1;178665;11,69093;3197426;>10;61;8;2022;6 Maas;;ja;ja;ja;;nee (RanunFlu);PotamNod, PotamPer, RanunFlu;14/08/2019;2019;3260;analoog;mon3260;;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
170;Maas_26;259;1_4_259;MAAS;>50;1;Limburg;245884,1;183716,3;40,17054;3886578;>10;76;10;2024;6 Maas;;ja;ja;ja;;nee (RanunFlu);PotamNod, RanunFlu;14/08/2019;2019;3260;analoog;mon3260;;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
171;Maas_01;969;1_4_969;MAAS;>50;1;Limburg;253230;203955;10,66597;3115490;>10;59;8;2022;6 Maas;;ja;ja;ja;;nee;PotamNod;16/08/2019;2019;3260;analoog;mon3260;;"aan verbinding met grindplas; moeilijke locatie; vraag Jo";1;#NAAM?;0,00;;ja;0;0;0;;;;;;
172;Maas_06;128;1_4_128;MAAS;>50;1;Limburg;248118,5;193739;25,11939;3406162;>10;68;9;2023;6 Maas;;ja;ja;ja;;nee (RanunFlu);FontiAnt, PotamNod, PotamPer, RanunFlu;16/08/2019;2019;3260;analoog;mon3260;;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
173;Maas_13;158;1_4_158;MAAS;>50;1;Limburg;248600,9;191609,4;12,25325;3238226;>10;62;8;2022;6 Maas;;ja;ja;ja;;nee (RanunFlu);FontiAnt, PotamNod, PotamPer, RanunFlu;16/08/2019;2019;gh;analoog;uitval (gh);;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
174;Maas_14;173;1_4_173;MAAS;>50;1;Limburg;248250;190286,3;3,588816;3402066;>10;67;9;2023;6 Maas;;ja;ja;ja;;nee (RanunFlu);FontiAnt, PotamNod, PotamPer, RanunFlu;16/08/2019;2019;3260;analoog;mon3260;;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
175;KlHGr_02;;1_7_38243;Kleine Hoofdgracht;;intersecting or downstream;;209397,4414;206591,8527;;2999158;> 10 km²;25;;2020_nieuw deel2;1 WR;;ja;ja;nee;;ja;RanunBatG;10/06/2020;2020;gh;digitaal;uitval (gh);;controleer of habitat;1;#NAAM?;;;nee;3;0;0;;;;;;
176;GroNe_08;;1_4_1556;GROTE NETE;;intersecting or downstream;;209016,1578;206116,5263;;4110198;> 10 km²;35;;2020_nieuw deel2;1 WR;;ja;ja;nee;;ja;niet gespecifieerd, maar sa RanunPel, so PotamBer;10/06/2020;2020;3260;digitaal;mon3260;;te controleren of hab;1;#NAAM?;;ja;nee;1;1;0;;;;;;
177;WarBe_05;;1_7_3424;Warmbeek;;intersecting or downstream;;228670;210970;;3337746;> 10 km²;28;;2020_nieuw deel2;1 WR;;ja;ja;nee;;ja;RanunPel;11/06/2020;2020;3260;analoog;mon3260;;;1;#NAAM?;;ja;ja;15;0;0;;;;;;
178;WarBe_04;;1_7_3419;Warmbeek;;intersecting or downstream;;228740,444;210508,024;;1764882;> 10 km²;12;;2020_nieuw deel1;1 WR;;ja;ja;nee;;ja;RanunPel;11/06/2020;2020;3260;analoog;mon3260;;;1;#NAAM?;;ja;nee;25;1,5;0;;;;;;
179;GroNe_14;;1_7_31111;Grote Nete;;intersecting or downstream;;206939,6705;205395,3778;;4204406;> 10 km²;39;;2020_nieuw deel2;1 WR;;ja;ja;nee;;ja;RanunPel;11/06/2020;2020;3260;analoog;mon3260;;;1;#NAAM?;;ja;nee;1;0;0;;;;;;
180;SasLo_01;;1_7_214728;Sasloop;;intersecting or downstream;;189624,4461;209735,4826;;906998;< 10 km²;6;;2020_nieuw deel1;1 WR;;ja;ja;nee;;ja;RanunBatG;15/06/2020;2020;gh;digitaal;uitval (gh);;;1;#NAAM?;;;nee;10;0;0;;;;;;
181;SasLo_02;;1_7_208884;Sasloop;;intersecting or downstream;;189947,1674;209845,5088;;4314870;< 10 km²;42;;2020_nieuw deel2;1 WR;;ja;ja;nee;;ja;RanunBatG;15/06/2020;2020;gh;digitaal;uitval (gh);;;1;#NAAM?;;;nee;0;0;0;;;;;;
182;SasLo_03;;1_7_208880;Korte Zeggeloop;;intersecting or downstream;;190239,5469;209761,7814;;1305334;< 10 km²;9;;2020_nieuw deel1;1 WR;;ja;ja;nee;;ja;RanunBatG;15/06/2020;2020;gh;digitaal;uitval (gh);;;1;#NAAM?;;;nee;25;0;0;;;;;;
183;GieBo_01;;1_7_199859;NA;;intersecting or downstream;;186553,1896;219937,2918;;2614318;< 10 km²;23;;2020_nieuw deel2;1 WR;;ja;ja;nee;;ja;RanunPel;15/06/2020;2020;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw;"drooggevallen; eerder gracht";1;#NAAM?;;;nee;80;0;0;;;;;;
184;BorBe_03;;1_7_121104;Bornebeek;;intersecting or downstream;;74883,26128;200027,5395;;1153089;< 10 km²;7;;2020_nieuw deel1;2 vroege zomer (kans op droogval);;ja;ja;nee;;nee;PotamPol;26/06/2020;2020;3260;digitaal;mon3260;;droogval mogelijk;1;#NAAM?;;;nee;0;0;0;;;;;;
185;NooMa_03;;1_7_221475;Noordermark;;intersecting or downstream;;187034,8397;231962,5865;;1834286;< 10 km²;13;;2020_nieuw deel1;2 vroege zomer (kans op droogval);;ja;ja;nee;;nee;CalliHam;2/07/2020;2020;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw;;1;#NAAM?;;;nee;60;0;0;;;;;;
186;GelLo_01;;1_7_189728;Gelsloopke;;intersecting or downstream;;187334,9411;232270,5818;;1309998;< 10 km²;10;;2020_nieuw deel1;2 vroege zomer (kans op droogval);;ja;ja;nee;;nee;CalliHam;2/07/2020;2020;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw;;1;#NAAM?;;;nee;40;2;0;;;;;;
187;RoDeG_01;;1_7_46206;Gracht Rode Del;;intersecting or downstream;;203089,5906;224550,9561;;2169582;< 10 km²;19;;2020_nieuw deel1;2 vroege zomer (kans op droogval);;ja;ja;nee;;nee;PotamNod, PotamPol;2/07/2020;2020;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw en overwelving;;1;#NAAM?;;;nee;35;10;0;;;;;;
188;Asbeek_03;;1_7_31125;Asbeek;;intersecting or downstream;;207857;203884;;1841014;> 10 km²;14;;2020_nieuw deel1;3 minder kans droogval;;ja;ja;nee;;nee;SO en SA CalliHam en PotamBer;6/07/2020;2020;3260;digitaal;mon3260;;eindpunte doen;1;#NAAM?;;;ja;3;0;0;;;;;;
189;KleBe_01o;;1_7_171136;Kleinebeek;;intersecting or downstream;;203151,8959;191903,0992;;2031030;< 10 km²;16;;2020_nieuw deel1;2 vroege zomer (kans op droogval);;ja;ja;nee;;nee;PotamPol (mss CalliHam);6/07/2020;2020;3260;digitaal;niet meetellen (is vervangen);permanent ongeschikt: schaduw;;1;#NAAM?;;;nee;35;0;0;;;;;;
190;KleBe_01;;;;;;;203228;191966;;;;;;2020_nieuw deel1;2 vroege zomer (kans op droogval);;ja;ja;nee;;nee;PotamPol (mss CalliHam);6/07/2020;2020;3260;digitaal;mon3260;;;1;#NAAM?;;;ja;20;1;0;;;;;;
191;BolBe_09;;1_7_19326;Bollisenbeek;;intersecting or downstream;;221617,5874;201378,4386;;2123986;> 10 km²;18;;2020_nieuw deel1;3 minder kans droogval;;ja;ja;nee;;nee;PotamPol;9/07/2020;2020;3260;digitaal;mon3260;;;1;#NAAM?;;;nee;4;4;0;;;;;;
192;BolBe_10;;1_7_19473;Bollisenbeek;;intersecting or downstream;;221778,8575;201796,2457;;2566354;> 10 km²;22;;2020_nieuw deel1;3 minder kans droogval;;ja;ja;nee;;nee;PotamPol;9/07/2020;2020;3260;digitaal;mon3260;;;1;#NAAM?;;;nee;20;0;0;;;;;;
193;Dommel_12;;1_7_3495;Dommel;;intersecting or downstream;;224648,419;207450,1733;;2448146;> 10 km²;20;;2020_nieuw deel1;3 minder kans droogval;;ja;ja;nee;;nee;CalliHam;9/07/2020;2020;gh;digitaal;uitval (gh);;sterk beschaduwd;1;#NAAM?;;;nee;20;0;0;;;;;;
194;IttBe_02;;1_7_27889;Itterbeek;;intersecting or downstream;;239549,0356;201875,5099;;3634002;> 10 km²;30;;2020_nieuw deel2;3b minder kans droogval;;ja;ja;nee;;nee;CalliHam;9/07/2020;2020;3260;digitaal;mon3260;;vervelende locatie tussen huizen;1;#NAAM?;;;nee;5;5;0;;;;;;
195;ZieBe_01;;1_7_114570;Ziepbeek;;intersecting or downstream;;238857,4199;181178,5493;;3717106;< 10 km²;31;;2020_nieuw deel2;2b vroege zomer (kans op droogval);;ja;ja;nee;;nee;PotamPol;9/07/2020;2020;3260;digitaal;mon3260;;;1;#NAAM?;;;nee;1;0;0;;;;;;
196;Voer_07;;1_4_1037;VOER;;intersecting or downstream;;249828;161505;;4152754;> 10 km²;38;;2020_nieuw deel2;4b Voeren;;ja;ja;nee;;ja;FontiAnt, RanunFlu;10/07/2020;2020;3260;digitaal;mon3260;;;1;#NAAM?;;;ja;10;0;0;;;;;;
197;Mark_01;;1_4_1640;MARK;;intersecting or downstream;;179403;231944;;4275614;> 10 km²;41;;2020_nieuw deel2;met 2!;;ja;ja;nee;;nee;CalliHam;29/07/2020;2020;3260;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;wel volledige opname gemaakt;1;#NAAM?;;;ja;60;0;0;;;;;;
198;AntGr_04;;1_7_28258;Antitankkanaal;;intersecting or downstream;;157719,176;224698,149;;3968990;> 10 km²;33;;2020_nieuw deel2;5b met 2;;ja;ja;ja;;nee;niet gepecifieerd;29/07/2020;2020;gh;digitaal;uitval (gh);;eindpunt te identificeren;1;#NAAM?;;;nee;15;0;0;;;;;;
199;Dommel_11;;1_7_20555;Dommel;;intersecting or downstream;;223963,0733;218233,3332;;2050322;> 10 km²;17;;2020_nieuw deel1;5 met 2;;ja;ja;ja;;nee;CalliHam, MyrioVer;30/07/2020;2020;3260;digitaal;mon3260;;;1;#NAAM?;;;nee;1;0;0;;;;;;
200;KleNe_08;;1_7_23080;Kleine Nete;;intersecting or downstream;;189264,121;210888,0768;;1549302;> 10 km²;11;;2020_nieuw deel1;5 met 2;;ja;ja;ja;;nee;PotamPer;30/07/2020;2020;gh;digitaal;uitval (gh);;;1;#NAAM?;;;nee;15;0;0;;;;;;
201;DeAa_02;;1_7_11707;De Aa;;intersecting or downstream;;178305,2933;209663,6295;;4146134;> 10 km²;37;;2020_nieuw deel2;5b met 2;;ja;ja;ja;;nee;PotamLuc;30/07/2020;2020;3260;digitaal;mon3260;;;1;#NAAM?;;;nee;1;5;5;;;;;;
202;DeAa_01;;1_7_27117;De Aa;;intersecting or downstream;;176986,464;209512,3187;;2817750;> 10 km²;24;;2020_nieuw deel2;5b met 2;;ja;ja;ja;;nee;PotamLuc;30/07/2020;2020;gh;digitaal;uitval (gh);;;1;#NAAM?;;;nee;5;0;0;;;;;;
203;WarBe_05;;;;;;;228670;210970;;3337746;;;;;;;ja;ja;nee;;;;3/08/2020;2020;3260;digitaal;niet meetellen (2x bezocht);;;1;#NAAM?;;ja;ja;15;0;0;;;;;;
204;WarBe_04;;;;;;;228740,444;210508,024;;1764882;;;;;;;ja;ja;nee;;;;3/08/2020;2020;3260;digitaal;niet meetellen (2x bezocht);;;1;#NAAM?;;ja;nee;25;1,5;0;;;;;;
205;GroNe_08;;;;;;;209016,1578;206116,5263;;4110198;;;;;;;ja;ja;nee;;;;3/08/2020;2020;3260;digitaal;niet meetellen (2x bezocht);;;1;#NAAM?;;ja;nee;5;1;0;;;;;;
206;GroNe_14;;;;;;;206939,6705;205395,3778;;4204406;;;;;;;ja;ja;nee;;;;3/08/2020;2020;3260;digitaal;niet meetellen (2x bezocht);;;1;#NAAM?;;ja;nee;3;0;0;;;;;;
207;ZwaBe_03;;1_7_1607;Zwartwater;;intersecting or downstream;;200100,4927;185620,6959;;212134;> 10 km²;2;;2020_nieuw deel1;3 minder kans droogval;;ja;ja;ja;;nee;CalliHam;19/08/2020;2020;gh;digitaal;uitval (gh);;;1;#NAAM?;;;nee;1;0;0;;;;;;
208;Maas_29;;1_7_20153;Maas;;intersecting or downstream;;246631,4953;181898,7648;;69106;> 10 km²;1;;2020_nieuw deel1;6 Maas;;ja;ja;ja;;nee;PotamNod, e.d.;19/08/2020;2020;3260;digitaal;mon3260;;;1;#NAAM?;;;nee;0;0;0;;;;;;
209;Maas_36;;1_7_20152;Maas;;intersecting or downstream;;246593,6833;181806,0394;;3214834;> 10 km²;26;;2020_nieuw deel2;6b Maas;;ja;ja;ja;;nee;PotamNod, e.d.;19/08/2020;2020;3260;digitaal;mon3260;;;1;#NAAM?;;;nee;0;0;0;;;;;;
210;Maas_38;;1_7_20150;Maas;;intersecting or downstream;;246529,9604;181616,2587;;3598834;> 10 km²;29;;2020_nieuw deel2;6b Maas;;ja;ja;ja;;nee;PotamNod, e.d.;19/08/2020;2020;3260;analoog + digitaal;mon3260;;;1;#NAAM?;;;nee;0;0;0;;;;;;
211;Maas_34;;1_7_7177;Maas;;intersecting or downstream;;248372,2359;195218,3543;;1867858;> 10 km²;15;;2020_nieuw deel1;6 Maas;;ja;ja;ja;;nee;PotamNod, e.d.;20/08/2020;2020;ongekend (geen opname);;uitval (ontoegankelijk);tijdelijk niet toegankelijk;grindwinning!;0;#NAAM?;;;nee;;;;;;;;;
212;Maas_30;;1_7_7733;Maas;;intersecting or downstream;;249112,6227;195569,2475;;426066;> 10 km²;3;;2020_nieuw deel1;6 Maas;;ja;ja;ja;;nee;PotamNod, e.d.;20/08/2020;2020;3260;digitaal;mon3260;;;1;#NAAM?;;;nee;0;0;0;;;;;;
213;Maas_40;;1_7_7743;Maas;;intersecting or downstream;;250024,6846;195291,0012;;4268114;> 10 km²;40;;2020_nieuw deel2;6b Maas;;ja;ja;ja;;nee;PotamNod, e.d.;20/08/2020;2020;3260;analoog + digitaal;mon3260;;;1;#NAAM?;;;nee;0;0;0;;;;;;
214;Maas_41;;1_7_8851;Maas;;intersecting or downstream;;251076,1373;199397,2772;;4324434;> 10 km²;43;;2020_nieuw deel2;6 Maas;;ja;ja;ja;;nee;PotamNod, e.d.;20/08/2020;2020;3260;analoog + digitaal;mon3260;;;1;#NAAM?;;;nee;0;0;0;;;;;;
215;Maas_33;;1_7_8855;Maas;;intersecting or downstream;;251440,5356;199236,0893;;1237410;> 10 km²;8;;2020_nieuw deel1;6 Maas;;ja;ja;ja;;nee;PotamNod, e.d.;20/08/2020;2020;3260;analoog + digitaal;mon3260;;;1;#NAAM?;;;nee;0;0;0;;;;;;
216;MolBe_01;;1_7_7841;Molenbeek;;outside;;144320,05;194657,84;;700137;;4;;2021_primair;;;;;nee;;nee;CalliHam;;2021;ongekend (geen opname);;uitval (gh);;gh volgens habitatkaart;0;#NAAM?;;;nee;;;;;;;;;
217;OudLo_01;;1_7_170694;Oudevosvijverloop;;outside;;212059,07;209199,06;;1621622;;11;;2021_primair;;;;;nee;;nee;PotamPol;;2021;ongekend (geen opname);;uitval (gh);;gh volgens habitatkaart;0;#NAAM?;;;nee;;;;;;;;;
218;Stiemer_04;;1_4_1498;Stiemer;;outside;;230484,04;187004,66;;2387410;;16;;2021_reserve1;;;;;nee;;nee;CalliHam;;2021;ongekend (geen opname);;uitval (ontoegankelijk);permanent niet toegankelijk;teveel overwelving: onder weg en SA is al gemeten: volgens ToonW: schrap en neem volgende in de lijst;0;#NAAM?;;;nee;;;;;;;;;
219;Stiemer_03;;1_4_593;Stiemer;;outside;;231009,17;187439,16;;1618386;;10;;2021_primair;;;ja;ja;nee;1.2;nee;CalliHam;5/07/2021;2021;3260;digitaal;mon3260;;;1;#NAAM?;;;nee;5;0;0;;;;;;
220;Dommel_13;;1_4_73;Dommel;;outside;;225718,56;199456,82;;1704146;;12;;2021_primair;G/ samen met andere in Dommel;;ja;ja;nee;1.2;nee;PotamPol;5/07/2021;2021;3260;digitaal;mon3260;;samen met andere Dommel;1;#NAAM?;;;nee;0;0;0;;;;;;
221;GieBe_05;;1_4_637;Gielisbeek;;outside;;227986,31;198692,44;;3020754;;20;;2021_reserve1;;;ja;ja;nee;1.2;nee;PotamPol;5/07/2021;2021;gh;digitaal;uitval (gh);;"grote kans gh; tussenliggend stuk te inventariseren!";1;#NAAM?;;;nee;25;0;0;;;;;;
222;WarBe_06;;1_7_140445;Warmbeek;;outside;;229059,6;208055,24;;1040402;;5;;2021_primair;;;ja;ja;nee;1.2;ja;PotamObt, RanunPel;5/07/2021;2021;3260;digitaal;mon3260;;"geïsoleerd; hele traject controleren";1;#NAAM?;;;nee;15;8;0;;;;;;
223;KlHGr_06;;1_7_55007;Kleine Hoofdgracht;;outside;;215473,16;208705,29;;2706038;;18;;2021_reserve1;A/ samen met andere van KlHGr;;ja;ja;nee;1.2;nee;PotamPol;6/07/2021;2021;3260;digitaal;mon3260;;samen met andere van KlHGrl;1;#NAAM?;;;nee;1;4;0;;;;;;
224;KlHGr_04;;1_7_55005;Kleine Hoofdgracht;;outside;;215670,92;208736,54;;1444470;;8;;2021_primair;A/ samen met andere van KlHGr;;ja;ja;nee;1.2;nee;PotamPol;6/07/2021;2021;3260;digitaal;mon3260;;samen met andere van KlHGrl;1;#NAAM?;;;nee;20;0;0;;;;;;
225;KlHGr_03;;1_7_54997;Kleine Hoofdgracht;;outside;;216458,32;208881,76;;264822;;1;;2021_primair;A/ samen met andere van KlHGr;;ja;ja;nee;1.2;nee;PotamPol;6/07/2021;2021;gh;digitaal;uitval (gh);permanent ongeschikt: overwelving;samen met andere van KlHGrl;1;#NAAM?;;;nee;5;18;0;;;;;;
226;KlHGr_05;;1_7_54994;Kleine Hoofdgracht;;outside;;216748,74;208931,93;;2538102;;17;;2021_reserve1;A/ samen met andere van KlHGr;;ja;ja;nee;1.2;nee;PotamPol;6/07/2021;2021;gh;digitaal;uitval (gh);;samen met andere van KlHGrl;1;#NAAM?;;;nee;0;4;0;;;;;;
227;SchNe_09;;1_7_166695;Scheppelijke Nete;;outside;;210008,6;212199,95;;359542;;2;;2021_primair;D/ samen met andere ScheNe?;;ja;ja;nee;1.2;ja;nabij RanunPel en PotamPol;7/07/2021;2021;gh;digitaal;uitval (gh);;controleer of hab over traject;1;#NAAM?;;;nee;0;1;0;;;;;;
228;SchNe_11;;1_4_1224;Scheppelijke Nete;;outside;;209878,47;212029,25;;3832950;;27;;2021_reserve2;D/ samen met andere ScheNe?;;ja;ja;nee;1.2;ja;nabij RanunPel en PotamPol;7/07/2021;2021;gh;digitaal;uitval (gh);;controleer of hab over traject;1;#NAAM?;;;nee;1;1;0;;;;;;
229;SchNe_07;;1_4_1179;Scheppelijke Nete;;outside;;206504,25;210593,65;;3153014;;23;;2021_reserve2;D/ samen met andere ScheNe?;;ja;ja;nee;1.2;ja;RanunPel;7/07/2021;2021;3260;digitaal;mon3260;;;1;#NAAM?;;;nee;5;0;0;;;;;;
230;MolNeZ_01;;1_7_166720;NA (zijbeek Molse Nete);;outside;;205016,11;208998,19;;1354614;;6;;2021_primair;D/ samen met ScheNe;;ja;ja;nee;1.2;nee;nabij PotamPol;7/07/2021;2021;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw en bodemplaat;"extrapol; kans gh groot door schaduw; controleer heel traject op HT";1;#NAAM?;;;nee;70;0;100;;;;;;
231;SchNe_10;;1_7_34547;Scheppelijke Nete;;outside;;205017,74;210236,4;;2124662;;14;;2021_reserve1;D/ samen met andere ScheNe?;;ja;ja;nee;1.2;ja;nabij RanunAqu;7/07/2021;2021;3260;digitaal;mon3260;;"extrapol; nabij bewoning";1;#NAAM?;;;nee;1;4;0;;;;;;
232;DalLo_01;;1_7_47415;Dalemansloop;;outside;;196955,29;211460,65;;422134;;3;;2021_primair;;;ja;ja;nee;1.2;nee;nabij PotamPol & LN;8/07/2021;2021;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw;samen met Luronium-opname in Dael?;1;#NAAM?;;;nee;70;0;0;;;;;;
233;LoeNe_03;;1_7_30980;Loeijens Neetje;;outside;;197117,56;218240,25;;2811126;;19;;2021_reserve1;B/ samen met andere LoeNe;;ja;ja;nee;1.2;ja;PotamObt, RanunBatG;8/07/2021;2021;3260;digitaal;mon3260;;;1;#NAAM?;;;nee;0;0;0;;;;;;
234;AntGr_02;;1_4_1139;Antitankkanaal;;outside;;153280,77;226346,54;;3041246;;21;;2021_reserve1;samen met Luronium-opname;;ja;ja;ja;1.2;ja;RanunPel, LurNat;19/07/2021;2021;3260;digitaal;mon3260;;samen met Luronium-opname?;1;#NAAM?;;;nee;15;0;0;;;;;;
235;HofBe_01;;1_4_1047;Hofbeek;;outside;;164179,11;217157,4;;1729430;;13;;2021_primair;;;ja;ja;nee;1.2;nee;PotamBer;19/07/2021;2021;gh;digitaal;uitval (gh);;"oude wrn; grote kans gh; volledig traject checken";1;#NAAM?;;;nee;15;0;0;;;;;;
236;PosVa_01o;;1_7_226908;Postelvaartje;;outside;;209566,38;215184,76;;1508470;;9;;2021_primair;C/ samen met andere PosVa;;ja;ja;ja;;nee;PotamNod;22/07/2021;2021;gh;;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;;;nee;80;0;0;;;;;;
237;PosVa_01;;;Postelvaartje;;;;209571,286;215079,482;;;;;;;;;;;;1.2;;;22/07/2021;2021;gh;analoog + digitaal;uitval (gh);;;1;#NAAM?;;;ja;5;0;0;;;;;;
238;PosVa_02;;1_7_226909;Postelvaartje;;outside;;209535,18;215278,57;;3343478;;25;;2021_reserve2;C/ samen met andere PosVa;;ja;ja;ja;;nee;PotamNod;22/07/2021;2021;gh;;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;;;nee;80;0;0;;;;;;
239;LoeNe_04;;1_4_1434;Loeijens Neetje;;outside;;200186,09;220139,54;;3792430;;26;;2021_reserve2;B/ samen met andere LoeNe;;ja;ja;nee;1.2;mss;PotamObt;22/07/2021;2021;3260;analoog + digitaal;mon3260;;;1;#NAAM?;;;nee;0;0;0;;;;;;
240;MolNe_01;;1_4_1636;Molse Nete;;outside;;198982,59;207071,83;;3930614;;28;;2021_reserve2;;;ja;ja;mss;1.2;ja;RanunPel;22/07/2021;2021;gh;analoog + digitaal;uitval (gh);;;1;#NAAM?;;;nee;15;0;0;;;;;;
